pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
68.62,-58.8216,-90.0,top,C1,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
91.0,-46.46,0.0,top,J1,,,PinSocket_1x02_P2.54mm_Vertical,BPX65,tht
54.57,-68.7966,90.0,top,J2,,,PinSocket_1x05_P2.54mm_Vertical,JOYSTICK,tht
71.62,-68.8216,90.0,top,J3,,,PinSocket_1x02_P2.54mm_Vertical,POWER,tht
90.0,-55.0,0.0,top,J4,,,PinSocket_1x02_P2.54mm_Vertical,LED,tht
94.0,-55.0,0.0,top,J5,,,PinSocket_1x02_P2.54mm_Vertical,SEND,tht
46.62,-38.5516,-90.0,top,Q1,,,TO-92_Inline,ZTX300,tht
65.62,-38.2816,-90.0,top,Q2,,,TO-92_Inline,ZTX300,tht
73.62,-60.2816,-90.0,top,Q3,,,TO-92_Inline,ZTX300,tht
86.0601,-39.38,-90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,100KΩ,tht
60.62,-39.8216,180.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
79.24,-39.8216,180.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
80.1522,-56.5147,180.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
86.0601,-57.62,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,180Ω,tht
59.62,-51.36,-90.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,100KΩ,tht
78.6172,-51.36,-90.0,top,RV2,,,Potentiometer_Bourns_3296W_Vertical,100KΩ,tht
91.4209,-69.36,-90.0,top,RV3,,,Potentiometer_Bourns_3296W_Vertical,100KΩ,tht
46.815,-45.0,0.0,top,U1,,,DIP-8_W7.62mm,LM311,tht
66.0,-45.0,0.0,top,U2,,,DIP-8_W7.62mm,LM311,tht
79.0,-63.0,0.0,top,U3,,,DIP-8_W7.62mm,LM311,tht
62.32,-56.2016,-90.0,top,U4,,,DIP-14_W7.62mm,74LS125,tht
